,,,,,,,,,,,Control,,,,Treatment,,,,Experiment details,,,
ID,Citation,Continent,Climatic region,Country,Site,Measuring date,Treatment Type,Treatment scale,Response Variable,Source,Mean. Control,SE.Control,n.Control,SD.Control,Mean. Treatment,SE.Treatment,n.Treatment,SD.Treatment,Community type,Experimental method,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,Warming,Global,BNPP,Table,179.00,102.00,3,176.67,153.00,72.00,3,124.71,Natural grassland,Infrared heaters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,Warming,Global,BNPP,Table,179.00,102.00,3,176.67,126.00,55.00,3,95.26,Natural grassland,Infrared heaters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,Warming,Global,BNPP,Table,179.00,102.00,3,176.67,135.00,29.00,3,50.23,Natural grassland,Infrared heaters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,DroughtxWarming,GlobalxGlobal,BNPP,Table,179.00,102.00,3,176.67,213.00,79.00,3,136.83,Natural grassland,Rainout Shelters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,DroughtxWarming,GlobalxGlobal,BNPP,Table,179.00,102.00,3,176.67,178.00,91.00,3,157.62,Natural grassland,Rainout Shelters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,DroughtxWarming,GlobalxGlobal,BNPP,Table,179.00,102.00,3,176.67,190.00,60.00,3,103.92,Natural grassland,Rainout Shelters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,FloodxWarming,GlobalxGlobal,BNPP,Table,179.00,102.00,3,176.67,163.00,57.00,3,98.73,Natural grassland,Rainout Shelters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,FloodxWarming,GlobalxGlobal,BNPP,Table,179.00,102.00,3,176.67,156.00,64.00,3,110.85,Natural grassland,Rainout Shelters,,
18,Hoeppner & Dukes (2012),North America,Humid Continental,USA,Boston-Area Climate Experiment,2010,FloodxWarming,GlobalxGlobal,BNPP,Table,179.00,102.00,3,176.67,200.00,90.00,6,220.45,Natural grassland,Rainout Shelters,,
19,Hovenden et al. (2008),Oceania,Oceanic,Australia,TASFACE,2006,CO2,Global,Soil N,Table,6.30,1.16,3,2.01,1.90,0.32,3,0.55,Natural grassland,FACE experiment,,
19,Hovenden et al. (2008),Oceania,Oceanic,Australia,TASFACE,2006,Warming,Global,Soil N,Table,6.30,1.16,3,2.01,7.12,0.67,3,1.15,Natural grassland,FACE experiment,,
19,Hovenden et al. (2008),Oceania,Oceanic,Australia,TASFACE,2006,CO2xWarming,GlobalxGlobal,Soil N,Table,6.30,1.16,3,2.01,9.43,1.90,3,3.29,Natural grassland,FACE experiment,,
20,Hutchison & Henry (2010),North America,Humid Continental,Canada,London,2007,Warming,Global,Shoot Biomass,Figure,813.70,77.06,20,344.62,1165.07,157.19,10,497.08,Natural grassland,Infrared heaters,,
20,Hutchison & Henry (2010),North America,Humid Continental,Canada,London,2007,FertxWarming,GlobalxLocal,Shoot Biomass,Figure,813.70,77.06,20,344.62,819.86,86.30,10,272.90,Natural grassland,Infrared heaters,,
20,Hutchison & Henry (2010),North America,Humid Continental,Canada,London,2007,Fert,Local,Shoot Biomass,Figure,813.70,77.06,20,344.62,1211.30,175.69,20,785.71,Natural grassland,Infrared heaters,,
21,Kardol et al. (2010),North America,Humid Subtropical,USA,Oak Ridge National Environmental Research Park,2007,CO2,Global,Shoot Biomass,Table,668.00,42.00,3,72.75,829.00,27.00,3,46.77,Constructed grassland,OTC,,
21,Kardol et al. (2010),North America,Humid Subtropical,USA,Oak Ridge National Environmental Research Park,2007,Drought,Global,Shoot Biomass,Table,668.00,42.00,3,72.75,357.00,106.00,3,183.60,Constructed grassland,OTC,,
21,Kardol et al. (2010),North America,Humid Subtropical,USA,Oak Ridge National Environmental Research Park,2007,Warming,Global,Shoot Biomass,Table,668.00,42.00,3,72.75,694.00,72.00,3,124.71,Constructed grassland,OTC,,
21,Kardol et al. (2010),North America,Humid Subtropical,USA,Oak Ridge National Environmental Research Park,2007,CO2xWarmingxDrought,GlobalxGlobal,Shoot Biomass,Table,668.00,42.00,3,72.75,481.00,82.00,3,142.03,Constructed grassland,OTC,,
21,Kardol et al. (2010),North America,Humid Subtropical,USA,Oak Ridge National Environmental Research Park,2007,CO2xDrought,GlobalxGlobal,Shoot Biomass,Table,668.00,42.00,3,72.75,489.00,70.00,3,121.24,Constructed grassland,OTC,,
21,Kardol et al. (2010),North America,Humid Subtropical,USA,Oak Ridge National Environmental Research Park,2007,CO2xWarming,GlobalxGlobal,Shoot Biomass,Table,668.00,42.00,3,72.75,746.00,101.00,3,174.94,Constructed grassland,OTC,,
21,Kardol et al. (2010),North America,Humid Subtropical,USA,Oak Ridge National Environmental Research Park,2007,DroughtxWarming,GlobalxGlobal,Shoot Biomass,Table,668.00,42.00,3,72.75,309.00,27.00,3,46.77,Constructed grassland,OTC,,
22,Lanta et al. (2009),Europe,Oceanic,Czech republic,Lesna,2005,Abandon,Local,Root Biomass,Figure,3.21,0.72,3,1.25,1.57,0.41,3,0.71,Natural grassland,Exclosure,,
22,Lanta et al. (2009),Europe,Oceanic,Czech republic,Lesna,2005,Fert,Local,Root Biomass,Figure,3.21,0.72,3,1.25,1.55,0.54,3,0.94,Natural grassland,Exclosure,,
22,Lanta et al. (2009),Europe,Oceanic,Czech republic,Lesna,2005,Mowing,Local,Root Biomass,Figure,3.21,0.72,3,1.25,1.55,0.53,3,0.92,Natural grassland,Exclosure,,
22,Lanta et al. (2009),Europe,Oceanic,Czech republic,Lesna,2005,AbandonxFert,LocalxLocal,Root Biomass,Figure,3.21,0.72,3,1.25,1.20,0.22,3,0.38,Natural grassland,Exclosure,,
22,Lanta et al. (2009),Europe,Oceanic,Czech republic,Lesna,2005,FertxMowing,LocalxLocal,Root Biomass,Figure,3.21,0.72,3,1.25,1.74,0.40,3,0.69,Natural grassland,Exclosure,,
22,Lanta et al. (2009),Europe,Oceanic,Czech republic,Lesna,2005,Abandon,Local,Shoot Biomass,Figure,7.04,1.43,3,2.48,28.73,2.53,3,4.38,Natural grassland,Exclosure,,
22,Lanta et al. (2009),Europe,Oceanic,Czech republic,Lesna,2005,Fert,Local,Shoot Biomass,Figure,7.04,1.43,3,2.48,8.72,1.66,3,2.88,Natural grassland,Exclosure,,
22,Lanta et al. (2009),Europe,Oceanic,Czech republic,Lesna,2005,Mowing,Local,Shoot Biomass,Figure,7.04,1.43,3,2.48,25.44,4.98,3,8.63,Natural grassland,Exclosure,,
22,Lanta et al. (2009),Europe,Oceanic,Czech republic,Lesna,2005,AbandonxFert,LocalxLocal,Shoot Biomass,Figure,7.04,1.43,3,2.48,30.96,3.47,3,6.01,Natural grassland,Exclosure,,
22,Lanta et al. (2009),Europe,Oceanic,Czech republic,Lesna,2005,FertxMowing,LocalxLocal,Shoot Biomass,Figure,7.04,1.43,3,2.48,31.85,2.77,3,4.80,Natural grassland,Exclosure,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2,Global,N mineralization,Table,4.46,0.42,6,1.03,4.41,0.43,6,1.05,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2,Global,N mineralization,Table,2.51,0.59,6,1.45,5.52,1.56,6,3.82,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,Drought,Global,N mineralization,Table,4.46,0.42,6,1.03,4.11,0.49,6,1.20,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,Drought,Global,N mineralization,Table,2.51,0.59,6,1.45,6.84,4.22,6,10.34,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,Warming,Global,N mineralization,Table,4.46,0.42,6,1.03,6.70,1.02,6,2.50,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,Warming,Global,N mineralization,Table,2.51,0.59,6,1.45,4.01,0.76,6,1.86,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2xWarmingxDrought,GlobalxGlobal,N mineralization,Table,4.46,0.42,6,1.03,3.64,0.16,6,0.39,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2xWarmingxDrought,GlobalxGlobal,N mineralization,Table,2.51,0.59,6,1.45,3.60,0.94,6,2.30,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2xDrought,GlobalxGlobal,N mineralization,Table,4.46,0.42,6,1.03,6.34,0.90,6,2.20,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2xDrought,GlobalxGlobal,N mineralization,Table,2.51,0.59,6,1.45,4.39,1.24,6,3.04,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,DroughtxWarming,GlobalxGlobal,N mineralization,Table,4.46,0.42,6,1.03,5.70,0.37,6,0.91,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,DroughtxWarming,GlobalxGlobal,N mineralization,Table,2.51,0.59,6,1.45,2.23,0.53,6,1.30,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2xWarming,GlobalxGlobal,N mineralization,Table,4.46,0.42,6,1.03,6.65,0.70,6,1.71,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2xWarming,GlobalxGlobal,N mineralization,Table,2.51,0.59,6,1.45,2.40,0.93,6,2.28,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2,Global,Soil N,Table,0.08,0.04,6,0.10,0.03,0.02,6,0.04,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2,Global,Soil N,Table,0.33,0.17,6,0.42,0.25,0.15,6,0.38,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,Drought,Global,Soil N,Table,0.08,0.04,6,0.10,0.06,0.06,6,0.14,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,Drought,Global,Soil N,Table,0.33,0.17,6,0.42,0.19,0.17,6,0.41,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,Warming,Global,Soil N,Table,0.08,0.04,6,0.10,0.23,0.13,6,0.33,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,Warming,Global,Soil N,Table,0.33,0.17,6,0.42,0.29,0.11,6,0.27,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2xWarmingxDrought,GlobalxGlobal,Soil N,Table,0.08,0.04,6,0.10,0.04,0.03,6,0.07,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2xWarmingxDrought,GlobalxGlobal,Soil N,Table,0.33,0.17,6,0.42,0.06,0.02,6,0.04,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2xDrought,GlobalxGlobal,Soil N,Table,0.08,0.04,6,0.10,0.18,0.10,6,0.24,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2xDrought,GlobalxGlobal,Soil N,Table,0.33,0.17,6,0.42,0.24,0.12,6,0.30,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,DroughtxWarming,GlobalxGlobal,Soil N,Table,0.08,0.04,6,0.10,0.09,0.08,6,0.20,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,DroughtxWarming,GlobalxGlobal,Soil N,Table,0.33,0.17,6,0.42,0.06,0.02,6,0.05,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2xWarming,GlobalxGlobal,Soil N,Table,0.08,0.04,6,0.10,0.28,0.14,6,0.34,Natural grassland,,,
23,Larsen et al. (2011),Europe,Oceanic,Denmark,CLIMAITE,2007,CO2xWarming,GlobalxGlobal,Soil N,Table,0.33,0.17,6,0.42,1.09,0.33,6,0.80,Natural grassland,,,
24,Liu et al. (2009),Asia,Humid Continental,Mongolia,Duolun County,2007,Flood,Global,Micr. Biom. C,Figure,275.65,28.99,6,71.01,350.07,34.82,6,85.29,Natural grassland,Infrared heaters,,
24,Liu et al. (2009),Asia,Humid Continental,Mongolia,Duolun County,2007,Warming,Global,Micr. Biom. C,Figure,275.65,28.99,6,71.01,196.21,26.11,6,63.96,Natural grassland,Infrared heaters,,
24,Liu et al. (2009),Asia,Humid Continental,Mongolia,Duolun County,2007,FloodxWarming,GlobalxGlobal,Micr. Biom. C,Figure,275.65,28.99,6,71.01,266.44,11.49,6,28.14,Natural grassland,Infrared heaters,,
24,Liu et al. (2009),Asia,Humid Continental,Mongolia,Duolun County,2007,Flood,Global,Micr. Biom. N,Figure,41.69,2.88,6,7.05,75.91,7.46,6,18.27,Natural grassland,Infrared heaters,,
24,Liu et al. (2009),Asia,Humid Continental,Mongolia,Duolun County,2007,Warming,Global,Micr. Biom. N,Figure,41.69,2.88,6,7.05,27.89,4.03,6,9.87,Natural grassland,Infrared heaters,,
24,Liu et al. (2009),Asia,Humid Continental,Mongolia,Duolun County,2007,FloodxWarming,GlobalxGlobal,Micr. Biom. N,Figure,41.69,2.88,6,7.05,43.42,1.44,6,3.53,Natural grassland,Infrared heaters,,
24,Liu et al. (2009),Asia,Humid Continental,Mongolia,Duolun County,2007,Flood,Global,Soil respiration,Figure,40.17,5.49,6,13.45,70.33,4.27,6,10.46,Natural grassland,Infrared heaters,,
24,Liu et al. (2009),Asia,Humid Continental,Mongolia,Duolun County,2007,Warming,Global,Soil respiration,Figure,40.17,5.49,6,13.45,38.96,2.93,6,7.18,Natural grassland,Infrared heaters,,
24,Liu et al. (2009),Asia,Humid Continental,Mongolia,Duolun County,2007,FloodxWarming,GlobalxGlobal,Soil respiration,Figure,40.17,5.49,6,13.45,46.35,2.36,6,5.78,Natural grassland,Infrared heaters,,
25,Luo et al. (2009),North America,Humid Subtropical,USA,McClain county,2005,Warming,Global,BNPP,Table,239.00,33.10,6,81.08,287.00,37.70,6,92.35,Natural grassland,Infrared heaters,,
25,Luo et al. (2009),North America,Humid Subtropical,USA,McClain county,2005,MowingxWarming,GlobalxLocal,BNPP,Table,239.00,33.10,6,81.08,320.00,39.20,6,96.02,Natural grassland,Infrared heaters,,
25,Luo et al. (2009),North America,Humid Subtropical,USA,McClain county,2005,Mowing,Local,BNPP,Table,239.00,33.10,6,81.08,245.00,30.60,6,74.95,Natural grassland,Infrared heaters,,
25,Luo et al. (2009),North America,Humid Subtropical,USA,McClain county,2005,Warming,Global,Shoot Biomass,Table,224.90,16.10,6,39.44,226.70,27.20,6,66.63,Natural grassland,Infrared heaters,,
25,Luo et al. (2009),North America,Humid Subtropical,USA,McClain county,2005,MowingxWarming,GlobalxLocal,Shoot Biomass,Table,224.90,16.10,6,39.44,179.90,14.40,6,35.27,Natural grassland,Infrared heaters,,
25,Luo et al. (2009),North America,Humid Subtropical,USA,McClain county,2005,Mowing,Local,Shoot Biomass,Table,224.90,16.10,6,39.44,149.30,17.00,6,41.64,Natural grassland,Infrared heaters,,
25,Luo et al. (2009),North America,Humid Subtropical,USA,McClain county,2005,Warming,Global,Soil C,Table,3.87,0.44,6,1.07,3.76,0.27,6,0.66,Natural grassland,Infrared heaters,,
25,Luo et al. (2009),North America,Humid Subtropical,USA,McClain county,2005,MowingxWarming,GlobalxLocal,Soil C,Table,3.87,0.44,6,1.07,3.40,0.34,6,0.83,Natural grassland,Infrared heaters,,
25,Luo et al. (2009),North America,Humid Subtropical,USA,McClain county,2005,Mowing,Local,Soil C,Table,3.87,0.44,6,1.07,3.28,0.30,6,0.74,Natural grassland,Infrared heaters,,
25,Luo et al. (2009),North America,Humid Subtropical,USA,McClain county,2005,Warming,Global,Soil respiration,Table,794.00,15.60,6,38.21,853.00,17.60,6,43.11,Natural grassland,Infrared heaters,,
25,Luo et al. (2009),North America,Humid Subtropical,USA,McClain county,2005,MowingxWarming,GlobalxLocal,Soil respiration,Table,794.00,15.60,6,38.21,842.00,15.40,6,37.72,Natural grassland,Infrared heaters,,
25,Luo et al. (2009),North America,Humid Subtropical,USA,McClain county,2005,Mowing,Local,Soil respiration,Table,794.00,15.60,6,38.21,732.00,11.20,6,27.43,Natural grassland,Infrared heaters,,
26,Ma et al. (2012),Asia,Subarctic,China,Xiertala farm,2011,Flood,Global,Micr. Biom. C,Figure,402.70,7.50,6,18.37,419.00,6.10,6,14.94,Natural grassland,,,
26,Ma et al. (2012),Asia,Subarctic,China,Xiertala farm,2011,FertxFlood,GlobalxLocal,Micr. Biom. C,Figure,402.70,7.50,6,18.37,469.10,7.40,6,18.13,Natural grassland,,,
26,Ma et al. (2012),Asia,Subarctic,China,Xiertala farm,2011,Fert,Local,Micr. Biom. C,Figure,402.70,7.50,6,18.37,454.90,8.80,6,21.56,Natural grassland,,,
26,Ma et al. (2012),Asia,Subarctic,China,Xiertala farm,2011,Flood,Global,Micr. Biom. N,Figure,42.40,1.50,6,3.67,41.80,1.00,6,2.45,Natural grassland,,,
26,Ma et al. (2012),Asia,Subarctic,China,Xiertala farm,2011,FertxFlood,GlobalxLocal,Micr. Biom. N,Figure,42.40,1.50,6,3.67,48.10,1.20,6,2.94,Natural grassland,,,
26,Ma et al. (2012),Asia,Subarctic,China,Xiertala farm,2011,Fert,Local,Micr. Biom. N,Figure,42.40,1.50,6,3.67,46.50,1.30,6,3.18,Natural grassland,,,
26,Ma et al. (2012),Asia,Subarctic,China,Xiertala farm,2011,Flood,Global,Soil C,Figure,3.63,0.15,6,0.36,3.68,0.21,6,0.51,Natural grassland,,,
26,Ma et al. (2012),Asia,Subarctic,China,Xiertala farm,2011,FertxFlood,GlobalxLocal,Soil C,Figure,3.63,0.15,6,0.36,3.72,0.19,6,0.45,Natural grassland,,,
26,Ma et al. (2012),Asia,Subarctic,China,Xiertala farm,2011,Fert,Local,Soil C,Figure,3.63,0.15,6,0.36,3.70,0.16,6,0.39,Natural grassland,,,
26,Ma et al. (2012),Asia,Subarctic,China,Xiertala farm,2011,Flood,Global,Soil N,Figure,10.13,0.32,6,0.79,7.84,0.46,6,1.12,Natural grassland,,,
26,Ma et al. (2012),Asia,Subarctic,China,Xiertala farm,2011,FertxFlood,GlobalxLocal,Soil N,Figure,10.13,0.32,6,0.79,9.69,0.17,6,0.42,Natural grassland,,,
26,Ma et al. (2012),Asia,Subarctic,China,Xiertala farm,2011,Fert,Local,Soil N,Figure,10.13,0.32,6,0.79,10.36,0.38,6,0.94,Natural grassland,,,
26,Ma et al. (2012),Asia,Subarctic,China,Xiertala farm,2011,Flood,Global,Soil respiration,Figure,44.80,0.70,6,1.71,45.80,1.10,6,2.69,Natural grassland,,,
26,Ma et al. (2012),Asia,Subarctic,China,Xiertala farm,2011,FertxFlood,GlobalxLocal,Soil respiration,Figure,44.80,0.70,6,1.71,49.90,1.15,6,2.82,Natural grassland,,,
26,Ma et al. (2012),Asia,Subarctic,China,Xiertala farm,2011,Fert,Local,Soil respiration,Figure,44.80,0.70,6,1.71,52.40,1.50,6,3.67,Natural grassland,,,
27,Mason et al. (2011),Europe,Oceanic,Czech republic,Ohrazeni,2005,Fert,Local,Shoot Biomass,Figure,110.88,43.35,3,75.08,110.70,34.53,3,59.81,Natural grassland,,,
27,Mason et al. (2011),Europe,Oceanic,Czech republic,Ohrazeni,2005,Mowing,Local,Shoot Biomass,Figure,110.88,43.35,3,75.08,77.11,2.21,3,3.83,Natural grassland,,,
27,Mason et al. (2011),Europe,Oceanic,Czech republic,Ohrazeni,2005,FertxMowing,LocalxLocal,Shoot Biomass,Figure,110.88,43.35,3,75.08,78.03,23.15,3,40.10,Natural grassland,,,
28,Mikola et al. (2009),Europe,Subarctic,Finland,Maaninka,2002,Abandon,Local,Root Biomass,Figure,427.35,73.82,10,233.44,598.90,58.54,10,185.12,Constructed grassland,,,
28,Mikola et al. (2009),Europe,Subarctic,Finland,Maaninka,2002,Mowing,Local,Root Biomass,Figure,427.35,73.82,10,233.44,273.60,30.51,10,96.48,Constructed grassland,,,
28,Mikola et al. (2009),Europe,Subarctic,Finland,Maaninka,2002,FertxMowing,LocalxLocal,Root Biomass,Figure,427.35,73.82,10,233.44,210.47,30.57,10,96.67,Constructed grassland,,,
28,Mikola et al. (2009),Europe,Subarctic,Finland,Maaninka,2002,Abandon,Local,Shoot Biomass,Figure,493.15,45.84,10,144.96,774.18,109.48,10,346.21,Constructed grassland,,,
28,Mikola et al. (2009),Europe,Subarctic,Finland,Maaninka,2002,Mowing,Local,Shoot Biomass,Figure,493.15,45.84,10,144.96,331.78,30.61,10,96.80,Constructed grassland,,,
28,Mikola et al. (2009),Europe,Subarctic,Finland,Maaninka,2002,FertxMowing,LocalxLocal,Shoot Biomass,Figure,493.15,45.84,10,144.96,347.57,25.46,10,80.51,Constructed grassland,,,
28,Mikola et al. (2009),Europe,Subarctic,Finland,Maaninka,2002,Abandon,Local,Soil N,Figure,40.78,13.29,10,42.03,18.39,3.29,10,10.40,Constructed grassland,,,
28,Mikola et al. (2009),Europe,Subarctic,Finland,Maaninka,2002,Mowing,Local,Soil N,Figure,40.78,13.29,10,42.03,10.77,0.92,10,2.91,Constructed grassland,,,
28,Mikola et al. (2009),Europe,Subarctic,Finland,Maaninka,2002,FertxMowing,LocalxLocal,Soil N,Figure,40.78,13.29,10,42.03,9.99,0.79,10,2.50,Constructed grassland,,,
29,Morgan et al. (2011),North America,Dry,USA,Cheyenne,2009,CO2,Global,Root Biomass,Figure,174.43,7.42,5,16.59,223.06,41.12,5,91.95,Natural grassland,,,
29,Morgan et al. (2011),North America,Dry,USA,Cheyenne,2009,Warming,Global,Root Biomass,Figure,174.43,7.42,5,16.59,189.31,22.92,5,51.25,Natural grassland,,,
29,Morgan et al. (2011),North America,Dry,USA,Cheyenne,2009,CO2xWarming,GlobalxGlobal,Root Biomass,Figure,174.43,7.42,5,16.59,257.49,39.77,5,88.93,Natural grassland,,,
29,Morgan et al. (2011),North America,Dry,USA,Cheyenne,2009,CO2,Global,Shoot Biomass,Figure,107.27,18.79,5,42.02,109.61,7.66,5,17.13,Natural grassland,,,
29,Morgan et al. (2011),North America,Dry,USA,Cheyenne,2009,Warming,Global,Shoot Biomass,Figure,107.27,18.79,5,42.02,101.54,4.22,5,9.44,Natural grassland,,,
29,Morgan et al. (2011),North America,Dry,USA,Cheyenne,2009,CO2xWarming,GlobalxGlobal,Shoot Biomass,Figure,107.27,18.79,5,42.02,125.73,18.40,5,41.14,Natural grassland,,,
30,Pendall et al. (2011),Oceania,Oceanic,Tasmania,South East Tasmania,2007,CO2,Global,Root Biomass,Figure,711.06,112.91,3,195.57,484.04,118.54,3,205.32,Natural grassland,FACE experiment,,
30,Pendall et al. (2011),Oceania,Oceanic,Tasmania,South East Tasmania,2007,Warming,Global,Root Biomass,Figure,711.06,112.91,3,195.57,600.38,172.18,3,298.22,Natural grassland,FACE experiment,,
30,Pendall et al. (2011),Oceania,Oceanic,Tasmania,South East Tasmania,2007,CO2xWarming,GlobalxGlobal,Root Biomass,Figure,711.06,112.91,3,195.57,378.96,101.66,3,176.08,Natural grassland,FACE experiment,,
30,Pendall et al. (2011),Oceania,Oceanic,Tasmania,South East Tasmania,2007,CO2,Global,Shoot Biomass,Figure,219.56,14.09,3,24.40,447.14,155.27,3,268.94,Natural grassland,FACE experiment,,
30,Pendall et al. (2011),Oceania,Oceanic,Tasmania,South East Tasmania,2007,Warming,Global,Shoot Biomass,Figure,219.56,14.09,3,24.40,210.53,124.18,3,215.09,Natural grassland,FACE experiment,,
30,Pendall et al. (2011),Oceania,Oceanic,Tasmania,South East Tasmania,2007,CO2xWarming,GlobalxGlobal,Shoot Biomass,Figure,219.56,14.09,3,24.40,308.20,110.09,3,190.68,Natural grassland,FACE experiment,,
31,Selsted et al. (2012),Europe,Oceanic,Denmark,CLIMAITE,2008,CO2,Global,Soil respiration,Figure,1.39,0.21,6,0.50,1.93,0.19,6,0.45,Natural grassland,,,
31,Selsted et al. (2012),Europe,Oceanic,Denmark,CLIMAITE,2008,Drought,Global,Soil respiration,Figure,1.39,0.21,6,0.50,1.16,0.15,6,0.36,Natural grassland,,,
31,Selsted et al. (2012),Europe,Oceanic,Denmark,CLIMAITE,2008,Warming,Global,Soil respiration,Figure,1.39,0.21,6,0.50,1.49,0.24,6,0.60,Natural grassland,,,
31,Selsted et al. (2012),Europe,Oceanic,Denmark,CLIMAITE,2008,CO2xWarmingxDrought,GlobalxGlobal,Soil respiration,Figure,1.39,0.21,6,0.50,1.62,0.22,6,0.55,Natural grassland,,,
31,Selsted et al. (2012),Europe,Oceanic,Denmark,CLIMAITE,2008,CO2xDrought,GlobalxGlobal,Soil respiration,Figure,1.39,0.21,6,0.50,1.77,0.23,6,0.57,Natural grassland,,,
31,Selsted et al. (2012),Europe,Oceanic,Denmark,CLIMAITE,2008,DroughtxWarming,GlobalxGlobal,Soil respiration,Figure,1.39,0.21,6,0.50,1.02,0.17,6,0.40,Natural grassland,,,
31,Selsted et al. (2012),Europe,Oceanic,Denmark,CLIMAITE,2008,CO2xWarming,GlobalxGlobal,Soil respiration,Figure,1.39,0.21,6,0.50,2.39,0.43,6,1.05,Natural grassland,,,
32,Sherry et al. (2008),North America,Humid Subtropical,USA,Kessler Farm,2004,Flood,Global,Shoot Biomass,Figure,759.72,62.00,5,138.64,707.72,66.00,5,147.58,Natural grassland,,,
32,Sherry et al. (2008),North America,Humid Subtropical,USA,Kessler Farm,2004,Warming,Global,Shoot Biomass,Figure,759.72,62.00,5,138.64,688.72,60.03,5,134.23,Natural grassland,,,
32,Sherry et al. (2008),North America,Humid Subtropical,USA,Kessler Farm,2004,FloodxWarming,GlobalxGlobal,Shoot Biomass,Figure,759.72,62.00,5,138.64,574.71,63.00,5,140.87,Natural grassland,,,
32,Sherry et al. (2008),North America,Humid Subtropical,USA,Kessler Farm,2004,Flood,Global,Soil N,Figure,17.74,8.02,5,17.93,12.79,1.54,5,3.44,Natural grassland,,,
32,Sherry et al. (2008),North America,Humid Subtropical,USA,Kessler Farm,2004,Warming,Global,Soil N,Figure,17.74,8.02,5,17.93,9.89,1.47,5,3.29,Natural grassland,,,
32,Sherry et al. (2008),North America,Humid Subtropical,USA,Kessler Farm,2004,FloodxWarming,GlobalxGlobal,Soil N,Figure,17.74,8.02,5,17.93,16.38,4.94,5,11.05,Natural grassland,,,
33,Siemann et al. (2007),North America,Dry,USA,Coastal Center,2002,Drought,Global,Soil C,Table,3.14,0.12,4,0.24,3.23,0.22,4,0.44,Natural grassland,,,
33,Siemann et al. (2007),North America,Dry,USA,Coastal Center,2002,Flood,Global,Soil C,Table,3.14,0.12,4,0.24,3.21,0.13,4,0.26,Natural grassland,,,
33,Siemann et al. (2007),North America,Dry,USA,Coastal Center,2002,DroughtxFert,GlobalxLocal,Soil C,Table,3.14,0.12,4,0.24,3.51,0.15,4,0.30,Natural grassland,,,
